Customer_ID,Age,Location,Income_Level,Total_Transactions,Avg_Transaction_Value,Max_Transaction_Value,Min_Transaction_Value,Total_Spent,Active_Days,Last_Transaction_Days_Ago,Loyalty_Points_Earned,Referral_Count,Cashback_Received,App_Usage_Frequency,Preferred_Payment_Method,Support_Tickets_Raised,Issue_Resolution_Time,Customer_Satisfaction_Score,LTV,Age_Group
cust_0000,54,Urban,Low,192,16736.38,60216.83,6525.81,3213385,140,209,2114,25,2224.01,Monthly,Debit Card,3,61.57,1,327954,Dewasa (45-65)
cust_0001,67,Suburban,High,979,14536.73,48350.1,2186.74,14231463,229,240,2960,20,4026.82,Monthly,UPI,17,60.39,8,1437052,Senior (>65)
cust_0002,44,Urban,High,329,7061.37,32521.16,2743.41,2323191,73,21,3170,0,1441.01,Monthly,Debit Card,11,45.31,4,241938,Dewasa Muda (25-45)
cust_0003,30,Rural,High,71,16426.88,17827.9,4360.78,1166308,299,285,4756,35,4365.86,Weekly,Wallet Balance,6,22.03,1,128459,Dewasa Muda (25-45)
cust_0004,58,Urban,Middle,878,10800.09,17497.63,4532.87,9482481,236,329,1992,18,4161.52,Daily,UPI,18,20.63,5,956951,Dewasa (45-65)
cust_0005,23,Rural,Middle,741,6093.16,21310.86,2069.64,4515033,195,93,3231,5,2597.39,Daily,UPI,6,17.23,10,467166,Remaja (<25)
cust_0006,36,Rural,Low,946,8751.16,11055.45,2117.44,8278599,88,255,4123,46,3525.28,Weekly,Wallet Balance,1,11.4,8,846943,Dewasa Muda (25-45)
cust_0007,54,Urban,Low,63,1324.7,4742.26,239.46,83455,97,162,2513,17,4820.14,Daily,Credit Card,13,28.87,8,20661,Dewasa (45-65)
cust_0008,34,Rural,Low,297,18898.72,93293.26,8057.84,5612921,166,303,1861,36,2260.23,Monthly,Credit Card,3,61.78,10,577484,Dewasa Muda (25-45)
cust_0009,38,Urban,High,245,12386.14,55926.29,4014.06,3034603,296,252,1221,7,2471.02,Daily,UPI,10,71.73,3,308366,Dewasa Muda (25-45)
cust_0010,26,Urban,High,519,14627.37,49201.61,7240.36,7591605,203,265,2313,10,3614.02,Daily,UPI,13,50.25,4,766979,Dewasa Muda (25-45)
cust_0011,26,Rural,High,393,13534.9,61934.45,3375.54,5319216,187,188,769,4,1932.13,Monthly,Debit Card,5,12.09,10,542893,Dewasa Muda (25-45)
cust_0012,39,Rural,High,772,13358.32,19570.91,4999.86,10312624,275,112,3562,20,4806.15,Monthly,UPI,2,48.82,4,1041983,Dewasa Muda (25-45)
cust_0013,68,Suburban,Low,601,355.05,1000.8,123.96,213383,20,30,1432,39,202.18,Monthly,Debit Card,15,20.55,3,31001,Senior (>65)
cust_0014,51,Rural,Middle,177,10512.17,28537.44,3732.16,1860654,73,273,1957,42,2016.89,Weekly,Debit Card,19,51.95,6,199170,Dewasa (45-65)
cust_0015,55,Suburban,Middle,204,16435.99,38555.38,6488.8,3352941,338,315,2304,20,3569.26,Daily,Credit Card,15,17.78,3,343117,Dewasa (45-65)
cust_0016,39,Rural,High,646,899.93,900.66,140.07,581355,361,168,1359,19,2146.9,Weekly,UPI,2,12.65,6,67680,Dewasa Muda (25-45)
cust_0017,18,Urban,Middle,594,19123.75,87283.02,6116.88,11359508,310,96,4953,41,1296.24,Weekly,Debit Card,15,46.05,5,1154308,Remaja (<25)
cust_0018,37,Rural,Middle,1000,8488.95,34896.61,2577.69,8488952,82,135,1256,8,2067.27,Monthly,UPI,17,49.65,2,853173,Dewasa Muda (25-45)
cust_0019,68,Urban,Middle,533,5805.01,20964.39,1375.86,3094070,296,38,72,1,4407.58,Daily,Debit Card,7,14.12,8,315447,Senior (>65)
cust_0020,17,Urban,High,911,10641.11,16130.51,2920.56,9694050,356,288,1182,48,2735.04,Weekly,Credit Card,9,37.35,7,982201,Remaja (<25)
cust_0021,39,Urban,Low,128,16026.27,40271.14,4928.48,2051362,27,69,482,3,1675.55,Monthly,Debit Card,2,63.53,7,212562,Dewasa Muda (25-45)
cust_0022,59,Suburban,Low,195,9500.35,44626.09,2169.59,1852568,141,234,1239,25,3357.61,Weekly,Credit Card,13,49.62,6,194556,Dewasa (45-65)
cust_0023,45,Rural,Middle,194,12905.66,44753.2,2803.93,2503698,47,67,2242,11,3059.23,Daily,Wallet Balance,14,48.99,9,263424,Dewasa Muda (25-45)
cust_0024,53,Urban,Low,184,10003.29,34147.65,3954.39,1840605,112,56,3383,18,2802.23,Monthly,Credit Card,1,52.37,4,195225,Dewasa (45-65)
cust_0025,17,Urban,Low,247,12629.13,58757.12,1600.96,3119395,235,276,402,18,1955.79,Weekly,Credit Card,15,25.85,5,318565,Remaja (<25)
cust_0026,36,Suburban,High,873,2769.24,8970.49,623.59,2417544,151,192,764,18,361.0,Daily,Credit Card,12,15.62,9,253901,Dewasa Muda (25-45)
cust_0027,48,Rural,High,872,782.88,2654.35,283.0,682672,315,120,1835,28,3103.66,Daily,Wallet Balance,14,53.08,3,76185,Dewasa (45-65)
cust_0028,27,Rural,Middle,324,2746.66,6544.91,504.04,889917,333,11,2589,38,2098.94,Weekly,Credit Card,13,58.65,3,99920,Dewasa Muda (25-45)
cust_0029,37,Suburban,Middle,160,5723.9,14228.27,1882.64,915824,126,146,803,44,2143.82,Daily,UPI,17,64.6,8,104516,Dewasa Muda (25-45)
cust_0030,59,Suburban,Middle,706,5074.59,18991.28,1120.8,3582658,7,14,4201,33,1170.4,Monthly,UPI,15,57.46,10,379382,Dewasa (45-65)
cust_0031,40,Rural,High,622,12307.36,28082.2,5382.26,7655174,50,34,4217,7,1247.1,Monthly,Wallet Balance,11,25.57,6,780027,Dewasa Muda (25-45)
cust_0032,64,Suburban,Low,925,9123.23,29526.71,2189.54,8438987,360,204,3002,5,3937.31,Monthly,Wallet Balance,13,34.16,2,850434,Dewasa (45-65)
cust_0033,42,Rural,High,66,785.85,1663.48,150.73,51866,66,86,2762,31,2396.82,Monthly,Wallet Balance,14,56.37,3,15612,Dewasa Muda (25-45)
